"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"175","John Klingberg","ANA, MIN","D","67","1127.5333333333","6","13","10","3","19","43.18","64","9.38","3.38","164","100","56","9","8","11","28","14","14","0","0","5","38","16","54","114","80","0","0","-"
"234","Morgan Rielly","TOR","D","65","1083.6166666667","3","16","11","5","19","41.30","96","3.13","5.2","183","133","63","16","5","8","15","6","5","1","0","6","52","20","64","102","58","0","0","-"
"259","Shayne Gostisbehere","ARI, CAR","D","75","1231.9166666667","4","15","7","8","19","36.54","93","4.30","4.45","216","144","65","10","4","15","16","8","8","0","0","19","48","26","39","61","73","0","0","-"
"263","Jimmy Vesey","NYR","L","81","956.25","7","12","6","6","19","46.34","108","6.48","12.83","181","140","116","62","8","16","18","6","4","2","0","11","29","44","98","44","36","3","11","21.43"
"307","Mattias Janmark","EDM","C","66","814.36666666667","5","14","9","5","19","63.33","70","7.14","7.39","101","88","69","47","2","7","28","14","14","0","0","10","23","20","18","91","13","25","26","49.02"
"331","Tyler Bertuzzi","BOS, DET","L","50","653","4","15","10","5","19","57.58","87","4.60","8.5","144","116","84","40","2","11","14","7","7","0","0","8","22","12","49","38","21","2","9","18.18"
"348","Nikita Zadorov","CGY","D","82","1295.2833333333","13","6","4","2","19","30.16","122","10.66","6.12","253","164","81","12","2","23","72","28","25","2","1","19","46","28","151","92","55","0","0","-"
"379","Tony DeAngelo","PHI","D","70","1172.3","5","14","9","5","19","39.58","118","4.24","5.42","197","152","49","12","2","17","46","15","12","2","1","13","49","18","42","46","65","0","0","-"
"394","Christian Dvorak","MTL","C","64","780.8","6","13","3","10","19","76.00","60","10.00","6.34","102","79","66","30","2","5","6","3","3","0","0","6","22","17","10","40","44","352","319","52.46"
"435","Jonas Siegenthaler","N.J","D","80","1382.8833333333","3","16","7","9","19","24.36","74","4.05","2.84","178","125","46","4","23","14","42","21","21","0","0","12","35","22","86","159","117","0","0","-"
"469","Nicolas Roy","VGK","C","65","825.93333333333","9","10","7","3","19","59.38","64","14.06","8.09","130","93","90","47","1","6","18","9","9","0","0","11","13","34","79","66","33","298","322","48.06"
"495","Will Borgen","SEA","D","82","1188.7333333333","3","16","9","7","19","32.20","69","4.35","2.68","159","107","39","2","4","15","43","17","14","3","0","16","22","12","175","126","76","0","0","-"
"551","Max Jones","ANA","L","69","836.68333333333","9","10","4","6","19","82.61","100","9.00","11.61","174","132","113","60","6","23","73","28","24","3","1","29","18","22","109","66","18","10","12","45.45"
"636","Klim Kostin","EDM","C","57","563.85","11","8","6","2","19","67.86","56","19.64","5.89","100","76","63","31","3","4","66","22","17","4","1","24","15","12","157","69","14","4","6","40.00"
"682","Sebastian Aho","NYI","D","71","1064.5","4","15","6","9","19","38.78","83","4.82","3.28","171","123","47","7","3","10","20","10","10","0","0","15","34","12","36","100","60","0","0","-"
"712","Philipp Kurashev","CHI","C","70","966.5","8","11","8","3","19","48.72","96","8.33","8.95","164","122","92","43","3","15","10","5","5","0","0","17","18","33","35","58","31","57","74","43.51"
"873","Anton Lundell","FLA","C","73","872.21666666667","9","10","5","5","19","48.72","113","7.96","9.76","186","144","99","47","4","13","35","16","15","1","0","16","34","29","25","59","26","210","262","44.49"
"877","Quinton Byfield","L.A","C","53","657.1","1","18","10","8","19","51.35","60","1.67","7.03","121","99","74","41","12","10","30","15","15","0","0","10","17","16","52","85","15","46","53","46.46"
"16","Paul Stastny","CAR","C","73","738.28333333333","7","11","5","6","18","62.07","69","10.14","10.93","115","100","91","60","2","21","14","7","7","0","0","7","7","20","20","32","18","235","175","57.32"
"48","Kevin Shattenkirk","ANA","D","75","1179.95","3","15","7","8","18","37.50","106","2.83","3.55","210","142","51","10","5","16","42","21","21","0","0","4","29","30","77","70","97","0","0","-"
"65","Lars Eller","COL, WSH","C","84","1051.15","8","10","7","3","18","51.43","126","6.35","10.62","243","171","121","45","6","23","32","15","15","0","0","11","31","34","88","115","32","450","387","53.76"
"91","Matt Martin","NYI","L","81","881.48333333333","7","11","7","4","18","64.29","82","8.54","8.79","160","122","90","41","3","16","63","17","9","7","1","18","20","15","294","78","41","8","17","32.00"
"133","Brenden Dillon","WPG","D","82","1347.0166666667","2","16","9","7","18","39.13","78","2.56","3.23","194","119","44","6","3","7","70","24","19","4","1","16","34","13","177","91","78","0","0","-"
"180","Ondrej Palat","N.J","L","49","658.48333333333","7","11","8","3","18","58.06","65","10.77","7.48","125","92","88","47","15","16","6","3","3","0","0","9","21","19","64","54","42","0","8","0.00"
"225","Colin Miller","DAL","D","79","1237.8166666667","5","13","7","6","18","29.51","94","5.32","4.29","254","155","71","6","4","17","35","16","15","1","0","13","44","28","104","109","62","0","0","-"
